"Bug ID","Product","Component","Assignee","Status","Resolution","Changed","Summary",,
334813,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-12 10:21:50","PB content assist for a tag typed by a TupleType",,
335951,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:58:34","  Loading a non UML file template",Diagram templates,
336732,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 11:41:52"," Provide a ""create a new diagram project"" tutorial",General,
338389,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2019-02-01 08:40:24"," Add constraints on element creation",UMLTypes,
340862,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-12 10:21:15"," Problems with popup direct edit dialog",TextEditors,
341218,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-11 03:27:27"," Papyrus shall Allow reverse of Eclipse Plugin Dependencies into UML model",reverse,
347008,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:53:34"," AbstractCommandHandler should be in org.eclipse.core",General,
348542,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:47:43"," Re-target a comment or constraint link does not remove inconsistent occurrence",All Diagrams,
348653,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:53:39"," Some ""move"" in the model explorer should be forbidden",Model Explorer,
348736,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2018-06-01 09:11:23"," bad location for cmd ""Select elements with same type""",Usability,
348859,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2016-10-24 03:54:11","When creating a diagram suggest the same name as the container",General,
350589,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 11:41:58"," TabContent preview should be parameterizable from Preferences",ModelEditor,
351180,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-12 10:21:37","Extremely timely parsing of parenthesized expressions",,
351615,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:47:53"," Drag and drop from model to diagram should consider child elements.",drag and drop,
351674,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-31 10:03:59"," Can't show the label of a Port after hiding it",CompositeDiagram,
351701,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:43:24"," Default Preferences are not correctly set",ClassDiagram,
351795,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:59:10"," getCommandResult returns null",ElementTypes,UMLTypes,
351866,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2013-07-12 06:38:10","Add an option to create diagram with CallBehaviorAction",ActivityDiagram,
353133,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:44:05"," Global preferences are shown in diagram pages (like diagram specific preferences)",CommonDiagram,
354211,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:45:11"," creation of user defined print format does not work",print,
354998,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:56:55","Plugins loaded at startup",,
355462,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:57:07"," all team commands should be available for eGIT",model abstraction,
355517,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:50:49"," Move by D&D and Paste commands should be allowed when an appropriate containment link is targeted in the model explorer",Model Explorer,
